Dataset	TargetID	EmpiricalFormula	ChargeState	Scan	MassTagID
Yellow_C13_070_23Mar10_Griffin_10-01-28	7220	C57H94N14O26	2	5814	182755211
Yellow_C13_070_23Mar10_Griffin_10-01-28	7585	C63H109N17O21	2	11805	354870998
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698	C67H111N19O17	2	9092	355177712
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698	C66H115N15O21	2	9092	344957813
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699	C66H115N15O21	2	9432	344979629
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699	C67H111N19O17	2	9432	355177712
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699	C66H115N15O21	2	9432	344957813
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700	C67H111N19O17	2	-1	355177712
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700	C66H115N15O21	2	-1	344957813
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700	C66H115N15O21	2	-1	344979629
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517	C64H110N22O22	2	8499	355157363
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517	C64H110N22O22	2	8499	355035161
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517	C72H114N16O19S	2	8499	355176429
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517	C68H114N16O24	2	8499	354873302
Yellow_C13_070_23Mar10_Griffin_10-01-28	8518	C67H114N18O21S	2	6391	354882656
Yellow_C13_070_23Mar10_Griffin_10-01-28	8586	C66H109N23O20	2	6512	355162540
Yellow_C13_070_23Mar10_Griffin_10-01-28	8616	C65H109N15O26S	2	12590	344968841
Yellow_C13_070_23Mar10_Griffin_10-01-28	8617	C65H109N15O26S	2	12181	344968841
Yellow_C13_070_23Mar10_Griffin_10-01-28	8618	C68H105N23O19	2	2430	355059626
