Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorBefore	MassErrorAfter	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription	MatchedMassTagID	NumHQProfilePeaks	FitScoreLabeled	AreaDifferenceCurve	AreaRatioCurve	AreaRatioCurveRevised	ChromCorrMin	ChromCorrMax	ChromCorrAverage	ChromCorrMedian	ChromCorrStdev	NumCarbonsLabelled	PercentCarbonsLabelled	PercentPeptidesLabelled	ContigScore	RSquared	ValidationCode
Yellow_C13_070_23Mar10_Griffin_10-01-28	7220		C57H94N14O26	2	5803	5786	5827	1	0.33652	-0.336521	2	0	1390.64852	1390.64852	1.54	1.54	696.33153	648833.100	0.0028	0.0000			182755211	9	0.2028	0.022	1067.161	275.844	0.06758	0.99895	0.84980	0.96001	0.28722	5.985	10.50	2.35	4	0.9893	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7585		C63H109N17O21	2	11794	11777	11821	1	0.68376	-0.683762	2	0	1439.80357	1439.80357	3.59	3.59	720.90906	133124.500	0.0009	0.0000			354870998	10	0.2335	0.077	3085.736	3085.736	0.94758	0.99982	0.98888	0.99495	0.01628	6.773	10.75	4.55	7	0.8801	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698		C67H111N19O17	2	9081	9056	9112	1	0.52643	-0.526426	2	0	1453.84214	1453.84214	1.11	1.11	727.92835	33077.500	0.0379	0.0199			355177712	5	0.6128	0.015	2.181	-0.209	0.69914	0.99555	0.92927	0.96843	0.11523	3.518	5.25	7.25	1	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7698		C66H115N15O21	2	9081	9056	9112	1	0.52643	-0.526426	2	0	1453.84214	1453.84214	2.03	2.03	727.92835	33077.500	0.0316	0.0199			344957813	5	0.6131	0.016	2.159	-0.139	0.69914	0.99555	0.92927	0.96843	0.11523	3.630	5.50	6.35	1	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C66H115N15O21	2	9410	9387	9443	1	0.54561	-0.545607	3	0	1453.84204	1453.84204	1.95	1.95	727.92830	68962.130	0.0166	0.0000			344979629	6	0.3930	0.045	12.601	3.807	0.43065	0.99886	0.90038	0.98885	0.21001	4.455	6.75	4.20	3	0.9388	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C67H111N19O17	2	9410	9387	9443	1	0.54561	-0.545607	3	0	1453.84204	1453.84204	1.04	1.04	727.92830	68962.130	0.0212	0.0000			355177712	6	0.4352	0.043	13.517	3.857	0.43065	0.99886	0.90038	0.98885	0.21001	4.523	6.75	4.80	3	0.8663	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7699		C66H115N15O21	2	9410	9387	9443	1	0.54561	-0.545607	3	0	1453.84204	1453.84204	1.95	1.95	727.92830	68962.130	0.0166	0.0000			344957813	6	0.3930	0.045	12.601	3.807	0.43065	0.99886	0.90038	0.98885	0.21001	4.455	6.75	4.20	3	0.9388	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C67H111N19O17	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.84053	0.00000	-1000000.00	-1000000.00	727.92754	0.000	1.0000	1.0000	ChromDataNotFound		355177712	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C66H115N15O21	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.83920	0.00000	-1000000.00	-1000000.00	727.92687	0.000	1.0000	1.0000	ChromDataNotFound		344957813	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	7700		C66H115N15O21	2	-1	0	0	0	-1.00000	1.000000	0	0	1453.83920	0.00000	-1000000.00	-1000000.00	727.92687	0.000	1.0000	1.0000	ChromDataNotFound		344979629	0	0.0000	0.000	0.000	0.000	0.00000	0.00000	0.00000	0.00000	-1.00000	0.000	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517		C64H110N22O22	2	8489	8468	8517	1	0.49218	-0.492177	2	0	1538.82198	1538.82198	3.55	3.55	770.41826	2154829.000	0.0042	0.0000			355157363	11	0.0054	0.501	50319.654	50319.652	0.86922	0.99995	0.98117	0.99662	0.03746	4.000	6.25	17.45	11	0.9992	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517		C64H110N22O22	2	8489	8468	8517	1	0.49218	-0.492177	2	0	1538.82198	1538.82198	3.55	3.55	770.41826	2154829.000	0.0042	0.0000			355035161	11	0.0054	0.501	50319.654	50319.652	0.86922	0.99995	0.98117	0.99662	0.03746	4.000	6.25	17.45	11	0.9992	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517		C72H114N16O19S	2	8489	8468	8517	1	0.49218	-0.492177	2	0	1538.82198	1538.82198	3.43	3.43	770.41826	2154829.000	0.0035	0.0000			355176429	12	0.1109	0.335	28066.186	28066.186	0.86922	0.99995	0.98117	0.99662	0.03746	4.680	6.50	12.59	9	0.9858	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8517		C68H114N16O24	2	8489	8468	8517	1	0.49218	-0.492177	2	0	1538.82198	1538.82198	1.81	1.81	770.41826	2154829.000	0.0026	0.0000			354873302	12	0.0178	0.439	99546.587	99546.586	0.06610	0.99995	0.83180	0.99594	0.31654	4.420	6.50	15.39	10	0.9985	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8518		C67H114N18O21S	2	6380	6360	6408	1	0.36996	-0.369958	4	0	1538.81458	1538.81458	1.24	1.24	770.41457	238079.400	0.0251	0.0000			354882656	4	1.0000	0.000	-1.806	-0.806	0.98100	0.99955	0.99430	0.99810	0.00899	-0.670	0.00	0.00	0	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8586		C66H109N23O20	2	6501	6480	6526	1	0.37685	-0.376854	4	0	1543.82440	1543.82440	1.60	1.60	772.91948	817131.800	0.0059	0.0000			355162540	11	0.0378	0.341	124970.344	124970.344	0.19938	0.99987	0.88379	0.99040	0.22015	4.455	6.75	14.22	9	0.9916	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8616		C65H109N15O26S	2	12579	12555	12597	1	0.72879	-0.728790	2	0	1547.74317	1547.74317	2.76	2.76	774.87886	36777.160	0.0076	0.0000			344968841	10	0.1242	0.130	736.982	736.982	0.92881	0.99921	0.97998	0.98755	0.02221	4.063	6.25	7.61	5	0.9937	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8617		C65H109N15O26S	2	12170	12151	12187	1	0.70520	-0.705204	2	0	1547.74468	1547.74468	3.74	3.74	774.87962	1061.490	0.0257	0.1521			344968841	3	0.5764	0.128	-1.828	0.172	0.90749	0.96839	0.95863	0.96839	0.04702	1.625	2.50	0.00	1	0.0000	
Yellow_C13_070_23Mar10_Griffin_10-01-28	8618		C68H105N23O19	2	2419	2403	2443	1	0.14041	-0.140415	2	0	1547.79976	1547.79976	2.61	2.61	774.90715	62227.370	0.0057	0.0000			355059626	8	0.3446	0.046	26.060	26.060	0.85903	0.99940	0.96197	0.99252	0.05355	3.910	5.75	5.45	5	0.8901	
